sweep,noise_model,delta_per_mode,relative_l2_noise,method,mean_relative_l2,aggregate_relative_l2,median_relative_l2,std_relative_l2,stderr_relative_l2,n_samples
paper_grid,critical,0.1,0.24750457106345186,scnet,0.24889786307194536,0.20601768860262462,0.2290501500559332,0.1096976188418169,0.004905826654003287,500
paper_grid,critical,0.1,0.24750457106345186,oracle_tikhonov,0.2601935550884834,0.2239559056922563,0.24688708013088817,0.10214783976405446,0.0045681902693436366,500
paper_grid,critical,0.1,0.24750457106345186,oracle_tsvd,0.23146137571588524,0.19092534761867927,0.21417085967905367,0.09983727382541605,0.004464858619237815,500
paper_grid,critical,0.1,0.24750457106345186,tikhonov_discrepancy,0.30716191979187357,0.26284618284878064,0.28298015080486033,0.13732207320507436,0.0061412298099549735,500
paper_grid,critical,0.1,0.24750457106345186,prior_wiener,0.248178653763449,0.20457053013816104,0.23095335769091008,0.10945208126932789,0.004894845879940972,500
paper_grid,critical,0.1,0.24750457106345186,oracle_spectral_bound,0.14732529973725605,0.13605177720396538,0.13357944792391507,0.09228701680097143,0.004127200860152746,500
paper_grid,critical,0.05,0.12375228553172593,scnet,0.17863483670691996,0.14502978882102105,0.16998943910507552,0.07422797823824044,0.003319576103461614,500
paper_grid,critical,0.05,0.12375228553172593,oracle_tikhonov,0.1891238238643425,0.1567870145238102,0.17831935128766155,0.07153094190244205,0.003198960971768971,500
paper_grid,critical,0.05,0.12375228553172593,oracle_tsvd,0.16546864409359374,0.1325783971813308,0.15396261939128136,0.07041098598407403,0.0031488750204634887,500
paper_grid,critical,0.05,0.12375228553172593,tikhonov_discrepancy,0.21682996941818533,0.17473988278060978,0.1978714495760817,0.09735827443775574,0.004353994396298039,500
paper_grid,critical,0.05,0.12375228553172593,prior_wiener,0.17820485655240953,0.14407344503660754,0.16859478839237346,0.07402850747063068,0.0033106554995436244,500
paper_grid,critical,0.05,0.12375228553172593,oracle_spectral_bound,0.10526412005429944,0.0937743816023561,0.09855840251217013,0.06007198106206406,0.0026865006639571047,500
paper_grid,critical,0.01,0.024750457106345186,scnet,0.08148584101550503,0.062343071076258624,0.07706426347816367,0.032383424208287374,0.0014482307574788574,500
paper_grid,critical,0.01,0.024750457106345186,oracle_tikhonov,0.08775627938177516,0.06862404669183118,0.08305577524434227,0.032259384122042704,0.001442683516183297,500
paper_grid,critical,0.01,0.024750457106345186,oracle_tsvd,0.07740277375081779,0.0581596742793889,0.07319425599893312,0.030950467217830523,0.0013841469726889567,500
paper_grid,critical,0.01,0.024750457106345186,tikhonov_discrepancy,0.09744530321094319,0.07357976618824646,0.08876828102637715,0.041911134371935575,0.001874322909395518,500
paper_grid,critical,0.01,0.024750457106345186,prior_wiener,0.08090986236321845,0.06210027002248284,0.0764199396189007,0.03163456127276821,0.0014147405888858397,500
