delta_per_mode,relative_l2_noise,resolution,method,trained_resolution,mean_relative_l2,aggregate_relative_l2,median_relative_l2,std_relative_l2,stderr_relative_l2,n_samples
0.1,0.24357177650455833,256,scnet,256,0.24506254393032553,0.20248295338011366,0.2284514045723839,0.1028153480982627,0.004598042149560382,500
0.1,0.24357177650455833,256,oracle_tikhonov,256,0.2609285131048738,0.23068144245193278,0.2522297376228422,0.09467622751866779,0.004234049611699548,500
0.1,0.24357177650455833,256,oracle_tsvd,256,0.22168504339773967,0.18529516518141645,0.2073061642248819,0.09771813514521803,0.004370087856384376,500
0.1,0.24357177650455833,256,tikhonov_discrepancy,256,0.3063901054603404,0.2694429569339118,0.2916075390793542,0.12321694126630106,0.005510429133020964,500
0.1,0.24357177650455833,256,prior_wiener,256,0.2436649338272938,0.20372636386681672,0.22709715088665472,0.1011413978909628,0.004523180820470933,500
0.1,0.24357177650455833,256,oracle_spectral_bound,256,0.14786556752404267,0.13128690083827832,0.13094837880277949,0.08986001200401443,0.004018661905998467,500
0.1,0.24357177650455833,256,scnet_full_aperture,256,0.24506254393032553,0.20248295338011366,0.2284514045723839,0.1028153480982627,0.004598042149560382,500
0.1,0.24357177650455833,256,spatial_cnn,256,0.31659086329888997,0.25276571936045716,0.2968395718547895,0.1263484993222334,0.005650476666792,500
0.1,0.25764022304540374,512,scnet,256,0.2450626716354008,0.20248299066300168,0.22845150762502614,0.10281538696096496,0.004598043887553263,500
0.1,0.25764022304540374,512,oracle_tikhonov,256,0.2609287838933477,0.2306815380680837,0.25222985031357703,0.094676296092986,0.004234052678436288,500
0.1,0.25764022304540374,512,oracle_tsvd,256,0.22168518380169833,0.1852952062057771,0.20730619033350212,0.09771818284956758,0.0043700899897877446,500
0.1,0.25764022304540374,512,tikhonov_discrepancy,256,0.3095665311747869,0.2719667795970418,0.29624715321027056,0.12351646044764693,0.005523824038022053,500
0.1,0.25764022304540374,512,prior_wiener,256,0.24366506297019583,0.2037264009026393,0.22709726204467498,0.10114143621828048,0.004523182534520688,500
0.1,0.25764022304540374,512,oracle_spectral_bound,256,0.14786569716362305,0.1312869300848663,0.13094849093753055,0.08986000809866754,0.004018661731346044,500
0.1,0.25764022304540374,512,scnet_full_aperture,256,0.24526518257371224,0.20270213434099082,0.22858193165637408,0.10271252761363212,0.004593443877698113,500
0.1,0.25764022304540374,512,spatial_cnn,256,0.42971031034882934,0.30186258901159213,0.38773114885357185,0.19548300125461834,0.008742265585020066,500
0.1,0.2709262073422264,1024,scnet,256,0.24506268754056543,0.2024829953893044,0.22845152074228275,0.10281539184379217,0.004598044105919934,500
0.1,0.2709262073422264,1024,oracle_tikhonov,256,0.26092881734062967,0.23068155000068324,0.2522298641167876,0.09467630464971151,0.004234053061104687,500
0.1,0.2709262073422264,1024,oracle_tsvd,256,0.2216852012309975,0.18529521140638128,0.20730619385114032,0.09771818892278644,0.004370090261390349,500
0.1,0.2709262073422264,1024,tikhonov_discrepancy,256,0.312752956575009,0.27455242923281725,0.29954026733735384,0.1237660017225472,0.005534983863099432,500
0.1,0.2709262073422264,1024,prior_wiener,256,0.2436650790624635,0.20372640559762173,0.22709727724744938,0.10114144102004598,0.004523182749262169,500
0.1,0.2709262073422264,1024,oracle_spectral_bound,256,0.1478657129857492,0.13128693374915482,0.13094850364689734,0.08986000723764519,0.0040186616928399544,500
0.1,0.2709262073422264,1024,scnet_full_aperture,256,0.24687631174995633,0.2044749330385003,0.22932741629811884,0.10189940104869451,0.004557079752227885,500
0.1,0.2709262073422264,1024,spatial_cnn,256,0.4733749991028379,0.32334506784824885,0.40989404546274827,0.23159916951429818,0.010357429731329353,500
0.1,0.2835378559557615,2048,scnet,256,0.24506268951987462,0.20248299597496142,0.22845152239304695,0.10281539245111529,0.00459804413308025,500
0.1,0.2835378559557615,2048,oracle_tikhonov,256,0.26092882149425006,0.2306815514877254,0.252229865870513,0.09467630565466922,0.004234053106047762,500
0.1,0.2835378559557615,2048,oracle_tsvd,256,0.2216852034102148,0.18529521205081106,0.20730619426778651,0.09771818965783188,0.00437009029426258,500
0.1,0.2835378559557615,2048,tikhonov_discrepancy,256,0.31592037739486784,0.27716084204563324,0.30291832829629595,0.12394887696575016,0.005543162292603505,500
0.1,0.2835378559557615,2048,prior_wiener,256,0.2436650810665704,0.20372640617939772,0.22709727905112498,0.10114144161382038,0.004523182775816568,500
0.1,0.2835378559557615,2048,oracle_spectral_bound,256,0.1478657149622116,0.1312869342022482,0.13094850520150897,0.08986000712779119,0.004018661687927134,500
0.1,0.2835378559557615,2048,scnet_full_aperture,256,0.25892379652168496,0.21812380694515135,0.23898830637468466,0.0965780852593205,0.004319103275532221,500
0.1,0.2835378559557615,2048,spatial_cnn,256,0.4892578578273274,0.3346935148104241,0.41194557950152544,0.2384571450365987,0.010664127720447225,500
0.09705564752385298,0.23640016487185112,256,scnet,256,0.24149367719920248,0.19935892767790914,0.2248276460314631,0.10119902591652179,0.0045257580241221135,500
0.09705564752385298,0.23640016487185112,256,oracle_tikhonov,256,0.25730437217774255,0.22711280456995686,0.247886706264712,0.09329021030358425,0.004172065037481313,500
0.09705564752385298,0.23640016487185112,256,oracle_tsvd,256,0.21857524888135021,0.18241136119170334,0.20442869124207863,0.0964170799064627,0.004311902897257593,500
0.09705564752385298,0.23640016487185112,256,tikhonov_discrepancy,256,0.30152375048298563,0.2643716638073361,0.2866924033274366,0.12124174634967445,0.005422095730973181,500
0.09705564752385298,0.23640016487185112,256,prior_wiener,256,0.24009943730046518,0.2004133649867618,0.22365566653041116,0.09957062876189443,0.004452933889479833,500
0.09705564752385298,0.23640016487185112,256,oracle_spectral_bound,256,0.14567975943184253,0.12914146106379754,0.13017449440521386,0.08834006973518717,0.003950688021299007,500
0.09705564752385298,0.23640016487185112,256,scnet_full_aperture,256,0.24149367719920248,0.19935892767790914,0.2248276460314631,0.10119902591652179,0.0045257580241221135,500
0.09705564752385298,0.23640016487185112,256,spatial_cnn,256,0.31082194197298246,0.24848855948322,0.2918768023613083,0.12366935585818176,0.005530661728650125,500
0.09705564752385298,0.2500543867586157,512,scnet,256,0.24149380695184236,0.1993589655946026,0.2248277805055127,0.1011990662753284,0.004525759829022815,500
0.09705564752385298,0.2500543867586157,512,oracle_tikhonov,256,0.25730464671691106,0.22711290149470015,0.24788675891226952,0.09329028001043173,0.004172068154866302,500
0.09705564752385298,0.2500543867586157,512,oracle_tsvd,256,0.21857539141696627,0.182411402910393,0.20442877258403283,0.09641712890485686,0.004311905088532395,500
0.09705564752385298,0.2500543867586157,512,tikhonov_discrepancy,256,0.3046033579751289,0.26679997779219194,0.29075420914426614,0.12155878685923338,0.0054362742135930795,500
