delta,mode,singular_value,scnet_damping,oracle_tikhonov_damping,oracle_tsvd_damping
0.01,43,0.0035464783798280154,9.870039229281247e-05,0.0018427239347230523,0.0
0.01,44,0.0034262652792927686,8.540217478730483e-05,0.0017201287376980006,0.0
0.01,45,0.0033126932999996885,0.00010387910879944684,0.0016081632995432508,0.0
0.01,46,0.0032052599164108073,7.354621074773604e-05,0.0015057010773849655,0.0
0.01,47,0.003103510457402012,7.941267485148274e-05,0.0014117556742507414,0.0
0.01,48,0.003007032652029301,7.177004984623636e-05,0.0013254609348168835,0.0
0.001,1,1.0,0.9998999004364013,0.9993191717738129,1.0
0.001,2,0.3535533905932738,0.9997644021511077,0.9945792085851282,1.0
0.001,3,0.19245008972987526,0.9989588530063629,0.9819373740776903,1.0
0.001,4,0.125,0.9951667308807373,0.9582190686777439,1.0
0.001,5,0.08944271909999159,0.983131607413292,0.9215218122327397,1.0
0.001,6,0.06804138174397717,0.9523527561426163,0.8717186756441322,1.0
0.001,7,0.05399492471560389,0.8973691314458847,0.8105808820817424,1.0
0.001,8,0.04419417382415922,0.818820893317461,0.7413879233246912,1.0
0.001,9,0.037037037037037035,0.7220597456395627,0.6681535674449189,1.0
0.001,10,0.03162277660168379,0.6247493359148503,0.5947806561416229,1.0
0.001,11,0.02741012223434215,0.5287459908202291,0.5244389208623563,1.0
0.001,12,0.024056261216234408,0.4438720354512334,0.45929019462922405,0.0
0.001,13,0.021334622931739582,0.36990053241327403,0.40051286862826285,0.0
0.001,14,0.019090088708030313,0.3076391188800335,0.34849696634540084,0.0
0.001,15,0.01721325931647741,0.2536585501190275,0.3030890166015072,0.0
0.001,16,0.015625,0.21055403824709357,0.263812405340317,0.0
0.001,17,0.014266801472725469,0.17392607343569397,0.23003376317918192,0.0
0.001,18,0.013094570021973102,0.14437539136968552,0.20107392187240408,0.0
0.001,19,0.012074512308976935,0.1208297879844904,0.1762741265217554,0.0
0.001,20,0.011180339887498949,0.09920912371040322,0.15503067039471835,0.0
0.001,21,0.010391328106475828,0.08180496267101262,0.13680927669619788,0.0
0.001,22,0.009690941652527747,0.07015124073496554,0.12114753927498448,0.0
0.001,23,0.009065844089438033,0.05695607980899513,0.10765096271769754,0.0
0.001,24,0.008505172717997146,0.04858837720938027,0.09598604074864509,0.0
0.001,25,0.008,0.04031637779221637,0.08587237494811296,0.0
0.001,26,0.00754292827454554,0.035121738723071755,0.07707491803474319,0.0
0.001,27,0.007127781101106491,0.029302310032420793,0.06939687002131406,0.0
0.001,28,0.006749365589450486,0.025082353345467708,0.06267343502176423,0.0
0.001,29,0.006403287523346616,0.02104229890636634,0.05676647184479844,0.0
0.001,30,0.006085806194501846,0.017269382211350603,0.05155998374948074,0.0
0.001,31,0.005793719420218545,0.015678054231510034,0.04695635475488091,0.0
0.001,32,0.005524271728019903,0.012806041970150546,0.04287322916425147,0.0
0.001,33,0.005275080483505995,0.011803354154311819,0.0392409342213103,0.0
0.001,34,0.005044076033603201,0.009864692069590092,0.0360003554905091,0.0
0.001,35,0.004829452884162952,0.008465722331908182,0.033101186480435425,0.0
0.001,36,0.004629629629629629,0.00747084414618439,0.030500486037261316,0.0
0.001,37,0.004443215873117764,0.0067824561536690454,0.02816148808627123,0.0
0.001,38,0.004268984766599014,0.005977060647084727,0.026052617984132633,0.0
0.001,39,0.004105850097566336,0.005126993051992031,0.024146677984473064,0.0
0.001,40,0.003952847075210474,0.004517709605221171,0.022420171199308846,0.0
0.001,41,0.003809116143624538,0.0037130304203164995,0.020852739113241866,0.0
0.001,42,0.003673889284811712,0.0037576563059556066,0.019426692349889144,0.0
0.001,43,0.0035464783798280154,0.003250467827601824,0.01812661816883288,0.0
0.001,44,0.0034262652792927686,0.002771459373376274,0.016939051237572222,0.0
0.001,45,0.0033126932999996885,0.0028463664476948906,0.0158521967067836,0.0
0.001,46,0.0032052599164108073,0.002288078467405285,0.01485569662808574,0.0
0.001,47,0.003103510457402012,0.0018364829381316667,0.013940432381858043,0.0
0.001,48,0.003007032652029301,0.0018056295410133316,0.013098357102324126,0.0
